유형명,장소명,주소
자연형,사려니숲길,제주특별자치도 제주시 조천읍 교래리 산 137-1
자연형,성산일출봉(UNESCO 세계자연유산),제주특별자치도 서귀포시 성산읍 성산리 1
자연형,우도(해양도립공원),제주특별자치도 제주시 우도면 연평리 904-1
자연형,비자림,제주특별자치도 제주시 구좌읍 평대리 3161-1
자연형,만장굴,제주특별자치도 제주시 구좌읍 월정리 산 41-5
자연형,천지연폭포,제주특별자치도 서귀포시 서홍동 666-1
자연형,새별오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8
자연형,섭지코지,제주특별자치도 서귀포시 성산읍 고성리
자연형,한라산국립공원,제주특별자치도 제주시 1100로 2070-61
자연형,한라산영실코스,제주특별자치도 서귀포시 하원동 산 1-1
자연형,주상절리대(중문대포해안),제주특별자치도 서귀포시 중문동 2768-1
자연형,용머리해안,제주특별자치도 서귀포시 안덕면 사계리 112-3
자연형,쇠소깍,제주특별자치도 서귀포시 하효동 990-1
자연형,거문오름(UNESCO 세계자연유산),제주특별자치도 제주시 조천읍 선흘리 478
자연형,정방폭포,제주특별자치도 서귀포시 동홍동 278
자연형,애월한담해안산책로,제주특별자치도 제주시 애월읍 곽지리 1359
자연형,산굼부리,제주특별자치도 제주시 조천읍 교래리 342-2
자연형,천제연폭포,제주특별자치도 서귀포시 중문동 2232
자연형,황우지해안,제주특별자치도 서귀포시 서홍동 766-1
자연형,제주절물자연휴양림,제주특별자치도 제주시 봉개동 산 78-1
자연형,용눈이오름,제주특별자치도 제주시 구좌읍 종달리 산28
자연형,제주허브동산,제주특별자치도 서귀포시 표선면 표선리 2608
자연형,돈내코,제주특별자치도 서귀포시 상효동 1503
자연형,서귀포 치유의 숲,제주 서귀포시 산록남로 2271 서귀포치유의숲
액티비티형,협재해수욕장,제주특별자치도 제주시 한림읍 협재리 2447
액티비티형,함덕해수욕장,제주특별자치도 제주시 조천읍 함덕리 산 14-1
액티비티형,월정리해수욕장,제주특별자치도 제주시 구좌읍 월정리 33
액티비티형,김녕해수욕장,제주특별자치도 제주시 구좌읍 김녕리 4330
액티비티형,아쿠아플라넷 제주,제주특별자치도 서귀포시 성산읍 고성리 127-3
액티비티형,금능해수욕장,제주특별자치도 제주시 한림읍 금능리 2036-1
액티비티형,곽지해수욕장,제주특별자치도 제주시 애월읍 애월원당길 (곽지리)
액티비티형,제주실탄사격장,제주특별자치도 서귀포시 상예동 2802
액티비티형,제주레일바이크,제주특별자치도 제주시 구좌읍 종달리 4639
액티비티형,제주레포츠랜드,제주특별자치도 제주시 조천읍 와흘리 870
액티비티형,제주하늘을날다(패러글라이딩),제주특별자치도 제주시 도남동 78
액티비티형,제주아트서커스,제주특별자치도 서귀포시 안덕면 동광로 214
액티비티형,렛츠런파크,제주특별자치도 제주시 애월읍 평화로 2144
액티비티형,9.81 파크,제주특별자치도 제주시 애월읍 어음리 산 131
액티비티형,제주빅볼랜드,제주특별자치도 제주시 구좌읍 송당리 산164-4
액티비티형,제주라프 짚라인,제주특별자치도 제주시 조천읍 선흘리 600
액티비티형,월정 투명카약,제주특별자치도 제주시 구좌읍 월정리 1400-33
액티비티형,우도잠수함(제주씨월드),제주특별자치도 서귀포시 성산읍 성산리 347-9
액티비티형,신비의도로카트체험장,제주특별자치도 제주시 노형동 187-3
액티비티형,더마파크,제주특별자치도 제주시 한림읍 월림7길 155
액티비티형,퍼시픽 마리나 요트투어,제주특별자치도 서귀포시 색달동 2950-5
액티비티형,메이즈랜드,제주 제주시 구좌읍 비자림로 2134-47 메이즈랜드
인생샷형,카멜리아힐,제주특별자치도 서귀포시 안덕면 상창리 271
인생샷형,헬로키티아일랜드,제주특별자치도 서귀포시 안덕면 상창리 1963-2
