제목,도로명주소,지역,위도,경도,인기점수
휴양펜션 스위스마을 Swiss Village Pension,제주특별자치도 제주시 조천읍 와산서1길 32 401~405동,제주시,33.4938544,126.6759996,123244
해비치 호텔앤드리조트 제주,제주특별자치도 서귀포시 표선면 민속해안로 537,서귀포시,33.32345,126.84478,91161
나미송 머무는 곳,제주특별자치도 제주시 애월읍 평화로 2476,제주시,33.4108019,126.433164,83620
대명리조트 제주,제주특별자치도 제주시 조천읍 신북로 577,제주시,33.541286,126.671486,76701
휘닉스 아일랜드 제주,제주특별자치도 서귀포시 성산읍 섭지코지로 107,서귀포시,33.430576,126.92777,66675
제주신라호텔,제주특별자치도 서귀포시 중문관광로 72번길 75,서귀포시,33.24756,126.40812,58892
롯데호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 35,서귀포시,33.2484577,126.4105487,58322
캠핑트리펜션,제주특별자치도 제주시 애월읍 광상로 115,제주시,33.4108019,126.433164,50076
제주가좋아서 펜션,제주특별자치도 제주시 구좌읍 비자림로 1569,제주시,33.4509119,126.7677935,48364
금호리조트제주,제주특별자치도 서귀포시 남원읍 태위로 522-12,서귀포시,33.272964,126.70148,46581
씨에스호텔앤리조트,제주특별자치도 서귀포시 중문관광로 198,서귀포시,33.242905,126.42043,43293
한화리조트 제주,"제주특별자치도 제주시 명림로 575-107 (회천동, 한화리조트) 한화리조트 제주",제주시,33.4489935,126.637412,38629
제주도푸른바다,제주도 제주시 구좌읍 별방길 109,제주시,33.527466,126.87913,36504
마레보 리조트,제주특별자치도 제주시 애월읍 신엄안3길 135,제주시,33.47147,126.35424,36481
포도호텔,제주특별자치도 서귀포시 안덕면 산록남로 863,서귀포시,33.315998,126.38764,33354
랜딩관 제주신화월드 호텔앤리조트,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,서귀포시,33.3017501,126.3206458,32108
메종 글래드 제주,제주특별자치도 제주시 노연로 80,제주시,33.484756,126.48871,31401
제주애견동반감성숙소 르페도라,제주특별자치도 서귀포시 남원읍 신례중앙로 6,서귀포시,33.289192,126.62941,29991
라마다프라자 제주호텔,제주특별자치도 제주시 탑동로 66,제주시,33.5185924,126.5175016,29898
더본 호텔,제주특별자치도 서귀포시 색달로 18,서귀포시,33.2594337,126.4063059,28064
서귀포KAL호텔,제주특별자치도 서귀포시 칠십리로 242,서귀포시,33.24653,126.58174,26965
야호비치하우스,제주특별자치도 제주시 조천읍 조함해안로 582,제주시,33.531406,126.66637,26684
신라스테이 제주,제주특별자치도 제주시 노연로 100,제주시,33.48558,126.49097,25789
인제주,제주특별자치도 제주시 한림읍 명월성로 137-14,제주시,33.39609,126.26452,25459
객의하우스,제주특별자치도 제주시 한림읍 한림로 381-3,제주시,33.396717,126.24342,24685
히든클리프 호텔 앤 네이쳐,제주특별자치도 서귀포시 예래해안로 542,서귀포시,33.254364,126.40315,24520
수상한소금밭게스트하우스,제주특별자치도 제주시 구좌읍 종달동길 36-10,제주시,33.490444,126.90256,23112
비젠빌리지,제주특별자치도 제주시 구좌읍 하도9길 72,제주시,33.511555,126.89074,22138
베이힐 풀앤빌라,제주특별자치도 서귀포시 예래로 424,서귀포시,33.24512,126.38528,21906
아이비테라스,제주특별자치도 서귀포시 법환상로 65,서귀포시,33.24061,126.510025,21786
오션스위츠 제주호텔,제주특별자치도 제주시 탑동해안로 74,제주시,33.51823,126.52317,21631
소노캄제주,제주특별자치도 서귀포시 표선면 일주동로 6347-17,서귀포시,33.3056347,126.7921182,21199
틸다하우스,제주특별자치도 제주시 한경면 중산간서로 3367-1,제주시,33.3109,126.2372213,20623
켄싱턴제주호텔,제주특별자치도 서귀포시 중문관광로 72번길60,서귀포시,33.252796,126.40887,19624
플레이스 캠프 제주,제주특별자치도 서귀포시 성산읍 동류암로 20,서귀포시,33.449944,126.91838,19355
메종드오조락,제주특별자치도 서귀포시 성산읍 오조로 140,서귀포시,33.45794,126.8903,19280
켄싱턴리조트 제주 한림점,제주특별자치도 제주시 한림읍 한림해안로 530,제주시,33.43582,126.27453,18763
롯데리조트제주 아트빌라스,제주특별자치도 서귀포시 색달중앙로252번길 124,서귀포시,33.289387,126.4132,18744
제주도푸른산푸른바다,제주특별자치도 제주시 구좌읍 일주동로 3421,제주시,33.51804,126.88356,18719
루스톤빌라앤호텔,제주특별자치도 제주시 애월읍 애월해안로 406,제주시,33.471367,126.35257,18449
나날 게스트하우스,제주특별자치도 서귀포시 남성중로121번길 14,서귀포시,33.2426292,126.5554453,18160
아름다운리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2644,서귀포시,33.47583,126.90991,18077
베스트웨스턴 제주 호텔,제주특별자치도 제주시 도령로 27,제주시,33.487797,126.481895,17846
제주아이브리조트,제주특별자치도 서귀포시 산록남로 1966-34,서귀포시,33.30179,126.50959,17206
제주성산골든튤립호텔,제주특별자치도 서귀포시 성산읍 일출로 31,서귀포시,33.4479486,126.9162124,17139
제주소풍(월정리),제주특별자치도 제주시 구좌읍 월정1길 23,제주시,33.55399749,126.7905923,17114
제주 에코 스위츠 펜션,제주특별자치도 서귀포시 중문상로 207-13,서귀포시,33.265537,126.42786,16869
서머셋 제주신화월드 호텔앤리조트,제주특별자치도 서귀포시 안덕면 신화역사로304번길 89,서귀포시,33.3017501,126.3206458,16643
우도피아,제주특별자치도 제주시 우도면 영일진사길 51-40,제주시,33.506397,126.96042,16602
라마다 제주 함덕 호텔,제주특별자치도 제주시 조천읍 신북로 470,제주시,33.53867,126.64584,16438
포구민박,제주특별자치도 제주시 애월읍 하귀12길 20-1,제주시,33.48635,126.40897,16438
마이테르유스호스텔,제주특별자치도 제주시 애월읍 애원로 474-29,제주시,33.4290068,126.3475723,16412
돈내코힐 리조트,제주특별자치도 서귀포시 돈내코로 180,서귀포시,33.300594,126.58511,16236
더포그레이스호텔앤리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2670,서귀포시,33.4736223,126.9107438,16223
봄 그리고 가을리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2660,서귀포시,33.4738934,126.9108755,16063
더클라우드호텔,제주특별자치도 서귀포시 성산읍 한도로 269-37,서귀포시,33.46898,126.93543,15982
메리어트관 제주신화월드 호텔앤리조트,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,서귀포시,33.3017501,126.3206458,15871
호텔 리젠트마린,제주특별자치도 제주시 서부두2길 20,제주시,33.517624,126.52711,15613
롯데시티호텔 제주,제주특별자치도 제주시 도령로 83,제주시,33.490974,126.48697,15262
Oh! 세화! (오세화게스트하우스),제주특별자치도 제주시 구좌읍 세송로 8-11,제주시,33.51694,126.85955,15025
리브라이프스테이,제주특별자치도 서귀포시 대정읍 서삼중로 217,서귀포시,33.27724,126.19178,14629
리니민박(RINY),제주특별자치도 서귀포시 표선면 성읍민속로149번길 1,서귀포시,33.390213,126.79784,14622
하워드존슨 제주 연동 호텔,제주특별자치도 제주시 삼무로 57,제주시,33.49002,126.492874,14552
더쇼어호텔제주,제주도 서귀포시 중문관광로 72번길 11,서귀포시,33.245575,126.405556,14529
호텔레오,제주특별자치도 제주시 삼무로 14,제주시,33.489735,126.48832,14423
게으른소나기,제주 제주시 구좌읍 계룡길 45-6,제주시,33.53883,126.83387,14242
파크 선샤인 제주,제주특별자치도 서귀포시 남성중로 135,서귀포시,33.2435819,126.5535596,14038
디아넥스 호텔,제주특별자치도 서귀포시 안덕면 산록남로762번길 71,서귀포시,33.303474,126.39206,13891
동박생이,제주특별자치도 제주시 구좌읍 월정1길 89,제주시,33.55842,126.792915,13593
오션스퀘어,제주특별자치도 서귀포시 환해장성로 667,서귀포시,33.413193,126.90886,13507
비안,제주특별자치도 제주시 조천읍 중산간동로 1197-16,제주시,33.477703,126.713554,13308
끄라비펜션,제주특별자치도 서귀포시 토평로148번길 28,서귀포시,33.28441,126.57967,13169
꽃하루방게스트하우스,제주특별자치도 서귀포시 성산읍 온평포구로62번길 24,서귀포시,33.400314,126.90295,13124
제주부영호텔엔리조트,제주특별자치도 서귀포시 중문관광로 222,서귀포시,33.2412366,126.424492,13043
하녹펜션,제주특별자치도 제주시 애월읍 하광로 181-1,제주시,33.479004,126.416405,12968
블루하와이리조트,제주특별자치도 제주시 한림읍 한림로 77,제주시,33.381363,126.21833,12957
제주해나루,제주특별자치도 서귀포시 신서로98번길 19-1 (강정동) 제주해나루,서귀포시,33.2615636,126.49447,12881
중문그린힐통나무펜션,제주특별자치도 서귀포시 천제연로 103-36,서귀포시,33.2814107,126.4111118,12816
제주리조트,제주특별자치도 제주시 애월읍 가문동상4길 11,제주시,33.4831162,126.3929955,12691
이디하우스n카페,제주특별자치도 제주시 구좌읍 해녀박물관길 33-2,제주시,33.523987,126.86202,12493
여울목게스트하우스(월정리),제주특별자치도 제주시 구좌읍 월정중길 51,제주시,33.5587,126.794106,12477
WE호텔 제주,"제주도 서귀포시 1100로 453-95(회수동, 위호텔)",서귀포시,33.286217,126.44427,12451
미르앤러브게스트하우스,제주특별자치도 제주시 용담로7길 4,제주시,33.51282,126.510704,12414
제주양떼목장(미공개),제주특별자치도 제주시 애월읍 도치돌길 289-13,제주시,33.41115,126.36528,12327
라포즈,제주특별자치도 서귀포시 중산간서로 459,서귀포시,33.26293,126.46611,12327
하도리민박,제주특별자치도 제주시 구좌읍 문주란로 22-1,제주시,33.518147,126.88513,12218
범섬풍경,제주특별자치도 서귀포시 속골로 26,서귀포시,33.242146,126.52973,12208
블랙스톤리조트,제주특별자치도 제주시 한림읍 한창로 925-122,제주시,33.33866,126.31243,12063
토스카나호텔,제주특별자치도 서귀포시 용흥로66번길 158-7,서귀포시,33.261562,126.49447,12048
