제목,도로명주소,지역,위도,경도,인기점수
웅스키친,제주특별자치도 제주시 대동길 17-1,제주시,33.4930736,126.4637705,11773
제주기정떡,제주특별자치도 제주시 애월읍 평화로 2747,제주시,33.449394,126.43736,7796
곽지식당,제주특별자치도 제주시 애월읍 곽지3길 27,제주시,33.449352,126.30442,7482
쉬림프봉봉&올레파머스,제주특별자치도 제주시 구좌읍 월정7길 57,제주시,33.55525,126.79582,5392
준반점,제주특별자치도 제주시 조천읍 조함해안로 528,제주시,33.54249,126.669304,5074
돌하르방 뚝배기,제주특별자치도 서귀포시 성산읍 일출로 264,서귀포시,33.4611919,126.9339076,9661
대관원,제주특별자치도 제주시 신대로13길 3,제주시,33.487804,126.49748,6525
버거307,제주특별자치도 제주시 조천읍 조함해안로 504,제주시,33.499622,126.53119,7094
동방양꼬치구이,제주특별자치도 서귀포시 명동로 14,서귀포시,33.246956,126.56347,4276
용두암 바당회국수,제주특별자치도 제주시 서해안로 614,제주시,33.51699,126.502815,3740
돌하르방식당,제주특별자치도 제주시 한림읍 한림로 300,제주시,33.3879944,126.2397837,13625
킨포크,제주특별자치도 제주시 노형3길 8,제주시,33.483097,126.477234,3862
키스더티라미수,제주특별자치도 제주시 애월읍 애월해안로 274,제주시,33.46854,126.34041,1078
바다위에코끼리,제주특별자치도 제주시 한림읍 협재1길 27-6,제주시,33.499622,126.53119,11433
돌토고리족욕카페,제주특별자치도 서귀포시 표선면 표선당포로 16-4,서귀포시,33.32556,126.84445,10046
라스또르따스,제주특별자치도 제주시 광양11길 8-1,제주시,33.4991863,126.5311145,6469
라쁠라주,제주특별자치도 제주시 서해안로 518,제주시,33.5198301,126.4944679,1368
채원일식,제주특별자치도 제주시 가령골2길 4,제주시,33.504257,126.537544,4362
함덕밀면,제주특별자치도 제주시 조천읍 신북로 566,제주시,33.5402349,126.6700387,6407
탐라 뚝배기,제주특별자치도 서귀포시 표선면 표선백사로 127,서귀포시,33.32677,126.83669,7234
토담골,제주특별자치도 제주시 신설로 28,제주시,33.4933442,126.5434175,4810
갤러리앤카페고팡,제주특별자치도 제주시 한림읍 금능남로 15,제주시,33.38652,126.23282,3848
골막식당,제주특별자치도 제주시 천수로 12,제주시,33.5024655,126.5384668,12296
다래향,제주특별자치도 제주시 조천읍 조함해안로 428-4,제주시,33.5457967,126.6607519,9676
길벗식당,제주특별자치도 제주시 월광로 162,제주시,33.4925136,126.4750372,5720
민봉태중화요리,제주특별자치도 제주시 연삼로 776 (화북이동),제주시,33.51155,126.56878,5864
세자매식당,제주특별자치도 서귀포시 신서귀로 11 민우상가 102호(법환동),서귀포시,33.25098,126.510124,6327
땅꼬분식 뷔페,제주특별자치도 제주시 조천읍 조천18길 50-9,제주시,33.537205,126.645424,10113
협재해녀의집,제주특별자치도 제주시 한림읍 협재3길 19,제주시,33.39883,126.24401,38770
치저스,제주특별자치도 제주시 구좌읍 비자림로 1785,제주시,33.4684316,126.7740314,10900
신옛촌,제주특별자치도 서귀포시 안덕면 사계로 187-6,서귀포시,33.247074,126.302536,8273
가든이다,제주특별자치도 서귀포시 중문상로 86,서귀포시,33.2555778,126.4278239,1508
강정해녀의집,제주특별자치도 서귀포시 말질로 270,서귀포시,33.2292539,126.4760412,9206
이성필 커피볶는집,제주특별자치도 제주시 이도2동 광양8길 1,제주시,33.499733,126.52797,2215
명당양과,제주특별자치도 제주시 원노형로 83,제주시,33.4812749,126.4850048,27652
한림로342쩜빵,제주특별자치도 제주시 한림읍 한림로 342,제주시,33.39386,126.240944,272
마중물삼계탕,제주특별자치도 제주시 서사로 62-3,제주시,33.5068618,126.5197327,6590
산라한,제주특별자치도 제주시 북성로 4,제주시,33.5158367,126.5239328,92
늘봄흑돼지,제주특별자치도 제주시 한라대학로 12,제주시,33.4792895,126.4728779,20379
고메아일랜드,제주특별자치도 제주시 청사로 85,제주시,33.490288,126.5278,4643
우유부단,제주특별자치도 제주시 한림읍 금악동길 38,제주시,33.3476667,126.3282377,47492
저팔계깡통연탄구이,제주특별자치도 제주시 조천읍 신북로 531,제주시,33.5417,126.666756,4395
하와이새우트럭,제주특별자치도 제주시 노형13길 16,제주시,33.482337,126.478375,6549
아랑,"제주특별자치도 제주시 선덕로 5길 25(연동, 연미주택)",제주시,33.48745,126.50014,3648
해금강횟집,제주특별자치도 제주시 서부두길 28 (건입동),제주시,33.51896,126.5287,9440
산포식당,제주특별자치도 서귀포시 성산읍 서성일로 1134,서귀포시,33.445087,126.899796,11049
잠녀해녀촌,제주특별자치도 제주시 조천읍 함덕5길 34,제주시,33.546357,126.6597032,29812
