도로명주소,지역,위도,경도,인기점수,
사려니숲길,제주특별자치도 제주시 조천읍 교래리 산 137-1,제주시,33.4180631,126.6534847,1763786
성산일출봉(UNESCO 세계자연유산),제주특별자치도 서귀포시 성산읍 일출로 284-12,서귀포시,33.462147,126.936424,1610274
우도(해양도립공원),제주특별자치도 제주시 우도면 삼양고수물길 1,제주시,33.51949,126.95109,1571436
비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,제주시,33.491318,126.811386,1435959
만장굴,제주특별자치도 제주시 구좌읍 만장굴길 182,제주시,33.5548185,126.7969015,995501
천지연폭포,제주특별자치도 서귀포시 남성중로 2-15,서귀포시,33.2447173,126.5598201,911204
새별오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8,제주시,33.36723,126.35711,698926
협재해수욕장,제주특별자치도 제주시 한림읍 한림로 329-10,제주시,33.393845,126.239716,679872
섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 262,서귀포시,33.4236948,126.9296022,638768
카멜리아힐,제주 서귀포시 안덕면 병악로 166,서귀포시,33.289135,126.37011,583928
함덕해수욕장,제주특별자치도 제주시 조천읍 조함해안로 525,제주시,33.5431929,126.6699802,577960
한라산국립공원,제주특별자치도 제주시 1100로 2070-61,제주시,33.36132,126.54195,570431
한라산영실코스,제주특별자치도 서귀포시 영실로 246,서귀포시,33.3402,126.47921,540393
주상절리대(중문대포해안),제주특별자치도 서귀포시 이어도로 36-30,서귀포시,33.23834,126.42586,511667
용머리해안,제주특별자치도 서귀포시 안덕면 사계리 112-3,서귀포시,33.2334272,126.313741,490844
쇠소깍,제주특별자치도 서귀포시 쇠소깍로 104,서귀포시,33.2540919,126.6222974,475041
거문오름(UNESCO 세계자연유산),제주특별자치도 제주시 조천읍 선교로 569-36,제주시,33.4569963,126.7143064,474321
월정리해수욕장,제주특별자치도 제주시 구좌읍 월정리 33-3,제주시,33.55580941,126.796624,448262
정방폭포,제주특별자치도 서귀포시 칠십리로214번길 37,서귀포시,33.244854,126.5718,409341
에코랜드 테마파크,제주특별자치도 제주시 조천읍 번영로 1278-169,제주시,33.4617075,126.6703845,367117
오설록티뮤지엄,제주특별자치도 서귀포시 안덕면 신화역사로 15,서귀포시,33.30601,126.2901309,359947
애월한담해안산책로,제주특별자치도 제주시 애월읍 곽지리 1359,제주시,33.45906,126.3106,354945
산굼부리,제주특별자치도 제주시 조천읍 비자림로 768,제주시,33.4316207,126.6900058,329348
천제연폭포,제주특별자치도 서귀포시 천제연로 132(중문동),서귀포시,33.25099,126.41689,326209
황우지해안,제주특별자치도 서귀포시 서홍동 766-1,서귀포시,33.241566,126.54981,319401
김녕해수욕장,제주특별자치도 제주시 구좌읍 구좌해안로 237,제주시,33.557926,126.75998,282367
아쿠아플라넷 제주,제주특별자치도 서귀포시 성산읍 섭지코지로 95,서귀포시,33.4325283,126.9272108,276425
제주절물자연휴양림,제주특별자치도 제주시 명림로 584,제주시,33.4302354,126.6227963,259982
용눈이오름,제주특별자치도 제주시 구좌읍 종달리 산28,제주시,33.45993,126.831635,249023
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,제주시,33.390003,126.23591,247403
보롬왓,제주특별자치도 서귀포시 표선면 번영로 2350-104,서귀포시,33.41367,126.75351,247175
곽지해수욕장,제주특별자치도 제주시 애월읍 애월원당길 (곽지리),제주시,33.45122,126.3058,246324
휴애리 자연생활공원,제주특별자치도 서귀포시 남원읍 신례동로 256,서귀포시,33.3330338,126.6180657,236899
용두암,제주특별자치도 제주시 용두암길 15,제주시,33.5149624,126.5116869,236123
"한림공원(협재굴, 쌍용굴)",제주특별자치도 제주시 한림읍 한림로 300(협재리),제주시,33.3879944,126.2397837,230628
메이즈랜드,제주특별자치도 제주시 구좌읍 비자림로 2134-47,제주시,33.48875,126.80093,224976
산방산,제주특별자치도 서귀포시 안덕면 사계리 산 16,서귀포시,33.236614,126.31289,223962
수월봉 지질트레일,제주특별자치도 제주시 한경면 노을해안로 1013-70,제주시,33.293736,126.16281,223960
제주돌문화공원,제주특별자치도 제주시 조천읍 남조로 2023,제주시,33.4180631,126.6534847,207794
산방굴사,제주특별자치도 서귀포시 안덕면 사계리 산 16,서귀포시,33.243855,126.31332,207369
산방산탄산온천,제주특별자치도 서귀포시 안덕면 사계북로 41번길 192,서귀포시,33.248665,126.29896,203693
제주동백수목원,제주특별자치도 서귀포시 남원읍 위미리 927,서귀포시,33.302706,126.6568975,202888
중문색달해수욕장,제주특별자치도 서귀포시 중문관광로72번길 100,서귀포시,33.2473598,126.4066129,202635
광치기해변,제주특별자치도 서귀포시 성산읍 섭지코지로 63,서귀포시,33.45245276,126.9245814,200720
백록담,제주특별자치도 서귀포시 토평동 산 15-1,서귀포시,33.362293,126.53332,199910
제주실탄사격장,제주특별자치도 서귀포시 소보리당로 164번길 62(상예동),서귀포시,33.2639753,126.3852041,198060
애월해안도로,제주특별자치도 제주시 애월읍 애월해안로,제주시,33.47822,126.36656,196545
세화해변,제주특별자치도 제주시 구좌읍 해녀박물관길 27,제주시,33.5253049,126.861276,193183
제주레일바이크,제주특별자치도 제주시 구좌읍 용눈이오름로 641,제주시,33.4646218,126.8369517,192588
이호테우말등대,제주특별자치도 제주시 서해안로 58,제주시,33.5021596,126.4564505,190471
서귀포치유의숲,제주특별자치도 서귀포시 산록남로 2271,서귀포시,33.292,126.52941,190265
1100고지습지,제주특별자치도 서귀포시 색달동 산 1-2,서귀포시,33.3575,126.46292,186990
제주김녕미로공원,제주특별자치도 제주시 구좌읍 만장굴길 122,제주시,33.5365838,126.7723967,185545
백약이오름,제주특별자치도 서귀포시 표선면 성읍리 산 1,서귀포시,33.437283,126.79018,184931
외돌개,제주특별자치도 서귀포시 서홍동 791,서귀포시,33.240063,126.54573,184844
송악산,제주특별자치도 서귀포시 대정읍 송악관광로 421-1,서귀포시,33.207714,126.29099,180855
중문관광단지,제주특별자치도 서귀포시 중문관광로72번길 35,서귀포시,33.248535,126.41039,180844
성읍민속마을,제주특별자치도 서귀포시 표선면 성읍정의현로 30,서귀포시,33.3850547,126.8015662,179558
방주교회,제주특별자치도 서귀포시 안덕면 산록남로762번길 113,서귀포시,33.305073,126.387665,179030
제주4.3평화공원,제주특별자치도 제주시 명림로 430,제주시,33.45058,126.61812,174641
아라고나이트 고온천(디아넥스호텔),제주특별자치도 서귀포시 안덕면 산록남로762번길 71,서귀포시,33.303474,126.39206,173705
다랑쉬오름(월랑봉),제주특별자치도 제주시 구좌읍 세화리 2705,제주시,33.4747784,126.8262601,164853
아침미소목장,제주특별자치도 제주시 첨단동길 160-20,제주시,33.45444,126.58662,164122
마라도(마라해양도립공원),제주특별자치도 서귀포시 대정읍 마라로101번길 46,서귀포시,33.11709285,126.2674732,162983
김경숙해바라기농장,제주특별자치도 제주시 번영로 854-1,제주시,33.47736,126.62767,161835
제주조천스위스마을,제주특별자치도 제주시 조천읍 함와로 566-27,제주시,33.4932304,126.6769248,159227
도두동 무지개 해안도로,제주특별자치도 제주시 도두1동,제주시,33.5093109,126.4739327,155079
헬로키티아일랜드,제주특별자치도 서귀포시 안덕면 한창로 340,서귀포시,33.29015,126.3522,154620
박물관은 살아있다,제주특별자치도 서귀포시 중문관광로 42,서귀포시,33.255043,126.409065,154125
제주민속촌,제주특별자치도 서귀포시 표선면 민속해안로 631-34,서귀포시,33.3225098,126.8418176,154030
비양도,제주특별자치도 제주시 한림읍 협재리,제주시,33.3819398,126.2497525,153968
가파도,제주특별자치도 서귀포시 대정읍 가파리,서귀포시,33.170017,126.271515,152398
환상숲 곶자왈공원,제주특별자치도 제주시 한경면 녹차분재로 594-1,제주시,33.322342,126.26323,152249
새연교,제주특별자치도 서귀포시 서홍동 707-4,서귀포시,33.238186,126.55907,151231
수월봉,제주특별자치도 제주시 한경면 고산리 3760,제주시,33.294754,126.16345,150095
제주러브랜드,제주특별자치도 제주시 1100로 2894-72,제주시,33.4519922,126.4890053,149022
이중섭거리,제주특별자치도 서귀포시 이중섭로 29,서귀포시,33.2455473,126.5644088,148214
녹산로유채꽃길,제주특별자치도 서귀포시 표선면 가시리 산 87-15,서귀포시,33.39823,126.71993,146948
아부오름,제주특별자치도 제주시 구좌읍 송당리 산 164-1,제주시,33.44878,126.7774,146607
신화테마파크,서귀포시 안덕면 신화역사로304번길 98,안덕면,33.299404,126.3193,145137
동백동산,제주특별자치도 제주시 조천읍 선흘리 산 12,제주시,33.51234966,126.7072644,144860
생각하는정원,제주특별자치도 제주시 한경면 녹차분재로 675,제주시,33.3257082,126.2552516,141160
본태박물관,제주특별자치도 서귀포시 안덕면 산록남로762번길 69,서귀포시,33.3038302,126.3925024,140758
여미지식물원,제주특별자치도 서귀포시 중문관광로 93,서귀포시,33.2531755,126.4149952,139685
윗세오름(웃세오름),제주특별자치도 제주시 애월읍 광령리 산 183-1,제주시,33.3701721,126.4819697,138063
제주유리의성,제주특별자치도 제주시 한경면 녹차분재로 462,제주시,33.314835,126.273445,135943
제주올레 7코스,제주특별자치도 서귀포시 서홍동 795-1,서귀포시,33.240437,126.548225,134935
소인국테마파크,제주특별자치도 서귀포시 안덕면 중산간서로 1878,서귀포시,33.2904213,126.322602,134381
제주레포츠랜드,제주특별자치도 제주시 조천읍 와흘상서2길 47,제주시,33.48239,126.63868,132230
한라수목원,제주특별자치도 제주시 수목원길 72,제주시,33.469604,126.4918,132146
제주하늘을날다(패러글라이딩),제주특별자치도 제주시 도남로17길 32 영산홍아파트 가동,제주시,33.4910557,126.5317204,130642
신비의도로,제주특별자치도 제주시 1100로 2894-63,제주시,33.451225,126.487305,129995
렛츠런파크,제주특별자치도 제주시 애월읍 평화로 2144,제주시,33.40782,126.39421,129276
제주아트서커스,제주특별자치도 서귀포시 안덕면 동광로 214,서귀포시,33.313927,126.34488,128865
안덕계곡,제주특별자치도 서귀포시 안덕면 일주서로 1524,서귀포시,33.258442,126.3529777,127511
신창풍차해안도로,제주특별자치도 제주시 한경면 한경해안로 485,제주시,33.3430267,126.17217,127016
성이시돌목장,제주특별자치도 제주시 한림읍 산록남로 53,제주시,33.3459727,126.3215552,125354
서귀포잠수함(대국해저관광),"제주특별자치도 서귀포시 남성중로 40 (서홍동, 유람선매표소) 서귀포잠수함",서귀포시,33.2392231,126.5586562,124649
해녀박물관,제주특별자치도 제주시 구좌읍 해녀박물관길 26,제주시,33.5242827,126.8629097,123625
선녀와나무꾼,제주특별자치도 제주시 조천읍 선교로 267,제주시,33.47903,126.70303,121722
9.81 파크,제주특별자치도 제주시 애월읍 천덕로 880-24,제주시,33.3928867,126.3586318,120581
오라동 청보리-메밀꽃밭,제주특별자치도 제주시 오라2동 산 76,제주시,33.426865,126.505775,120540
감귤박물관,제주특별자치도 서귀포시 효돈순환로 441,서귀포시,33.271523,126.60766,119792
제주허브동산,제주특별자치도 서귀포시 표선면 돈오름로 170,서귀포시,33.3225332,126.8228665,117899
어승생,제주특별자치도 제주시 해안동 1100도로 555번지 (해안동 산220-12번지),제주시,33.397373,126.49035,115935
제주특별자치도 도립미술관,제주특별자치도 제주시 1100로 2894-78,제주시,33.4525957,126.4896313,115064
송악산둘레길,제주특별자치도 서귀포시 대정읍 송악관광로 421-1,서귀포시,33.2077142,126.2909893,114970
관덕정,제주특별자치도 제주시 관덕로 19,제주시,33.513355,126.52145,112750
마방목지,제주특별자치도 제주시 516로 2480,제주시,33.42824,126.60599,111333
